year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1900,49.8,50.3,57.1,53.3,64.4,68.2,70.2,67.1,63.1,59.8,56.3,45.6,58.8
1901,46.6,50.9,52.7,53.8,60.6,66.7,73.7,72.3,63,62.3,54.6,44.1,58.4
1902,43.9,49.1,46.9,52.8,57.1,M,69.1,65.9,65.9,56.5,46,42.4,54.1
1903,44.7,42,48.5,52.3,60.1,68.1,67,M,M,M,M,M,54.7
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,68.8,69.6,66.4,61,M,45.6,62.3
1910,44.7,48.2,55.6,59.3,63.5,65,69.4,67.6,66.1,61.7,52.5,48.5,58.5
1911,48.8,46.3,55,53.9,57.8,63.9,70.9,67.5,64.4,58.7,50,43.3,56.7
1912,48.9,52.8,49.9,51.8,60.6,65.8,68,67.5,66.2,56.6,52.2,42,56.9
1913,43.8,49,50.8,55.7,60.5,64.4,70.8,73,69.1,60,53.7,45.9,58.1
1914,49.3,51.1,56.2,57.1,60.1,65.4,69.3,67.8,64.9,60.1,55.5,45.9,58.6
1915,46.9,49.8,55.9,57,58.2,67.5,69.6,73.4,65.6,61.9,51.2,48.3,58.8
1916,42.1,53.2,55.3,58.2,58.9,65.2,72.5,70.9,69.2,56.9,47.5,43.7,57.8
1917,41.9,47.5,50.1,56.4,57,70.9,76.4,70.9,70.2,63.5,53.1,48.5,58.9
1918,45.4,46.7,53.7,58.9,57,72.5,71.1,71.4,67.2,63.1,51.3,43.6,58.5
1919,45.1,47.4,49.6,57.3,62.3,68.2,71.7,71.6,67.3,56.1,51.4,47.8,58
1920,48,49.7,49.4,54.1,60.8,65.8,70.8,71.4,66.9,57.5,52,46.4,57.7
1921,45.2,50.5,54,54.9,57,69.5,72.3,71.2,65.5,62.4,54.5,49.8,58.9
1922,42.5,46.7,49,53,61.6,68.4,71.6,70.9,72,59.2,49,48.1,57.7
1923,45.1,48.2,52,53.9,60.9,62,69.5,71.8,69.4,60.5,55.6,45.5,57.9
1924,46.1,54,49.9,55.3,63.5,68.8,67,69.9,67.4,56.1,53.5,46.7,58.2
1925,48.1,52.1,53.1,55.6,60.5,68.3,72.4,67.4,63.4,58.3,52.3,49.4,58.4
1926,46.6,51.7,55.2,59.3,63.5,69.9,72.6,71.6,64.5,63,58.5,46.1,60.2
1927,48,51.4,51,55.7,61.6,66.8,71.7,70.4,65,63.3,55,46.9,58.9
