year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1900,69,77,82,87,96,99,106,110,100,90,87,71,110
1901,68,74,78,84,94,110,106,109,98,96,83,68,110
1902,69,72,75,84,86,103,109,105,106,93,74,66,109
1903,68,68,70,84,102,106,100,M,M,M,M,M,106
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,103,106,105,96,M,67,106
1910,72,75,86,99,110,105,109,106,105,104,89,78,110
1911,75,69,87,84,96,102,110,106,104,97,83,77,110
1912,75,78,71,77,96,107,106,106,102,94,82,70,107
1913,74,76,85,93,94,100,110,110,112,99,92,72,112
1914,72,74,90,94,99,106,101,108,101,96,90,67,108
1915,72,69,88,86,95,103,108,109,109,101,85,74,109
1916,61,82,91,89,90,100,112,110,108,88,83,69,112
1917,67,77,86,94,91,115,113,108,110,102,89,76,115
1918,76,79,88,90,96,108,105,110,96,99,89,74,110
1919,74,71,73,89,100,104,108,112,106,91,80,76,112
1920,75,70,76,87,98,107,106,112,101,88,78,66,112
1921,72,80,80,93,93,106,111,101,103,98,88,76,111
1922,64,69,76,84,94,107,106,102,106,90,73,68,107
1923,68,74,84,87,95,102,108,103,109,96,84,73,109
1924,70,82,77,90,104,104,105,107,98,90,84,70,107
1925,74,76,85,86,95,113,115,104,96,91,78,77,115
1926,71,80,85,94,100,109,111,102,95,93,89,73,111
1927,72,68,81,90,101,102,106,106,95,98,85,72,106
1928,76,72,83,90,102,110,107,108,106,98,80,70,110
1929,74,70,80,82,92,109,108,111,109,97,93,77,111
1930,69,85,85,85,93,107,112,100,95,95,89,71,112
1931,78,72,82,100,96,101,113,112,100,96,92,68,113
1932,65,77,79,86,95,106,109,110,110,94,87,74,110
1933,68,71,76,89,102,106,113,117,97,104,85,69,117
1934,75,73,83,89,98,107,107,107,105,97,81,73,107
1935,73,74,79,82,94,103,109,108,101,91,80,73,109
1936,72,65,80,89,95,105,108,106,106,98,84,69,108
1937,60,71,78,85,97,108,105,106,105,94,81,74,108
1938,70,70,71,88,95,101,108,109,102,89,79,80,109
1939,69,69,84,90,102,104,107,105,104,94,84,77,107
1940,72,69,82,94,100,109,108,110,93,99,81,85,110
1941,70,75,80,81,96,99,108,100,103,93,90,74,108
1942,79,68,82,82,102,104,112,109,103,97,85,76,112
1943,82,82,79,87,100,102,108,101,107,99,89,72,108
1944,79,73,83,82,95,103,100,112,112,98,78,73,112
1945,72,78,81,93,91,107,109,107,108,98,86,70,109
1946,75,75,83,98,95,102,104,110,101,91,77,68,110
1947,73,81,85,96,102,102,108,109,110,101,78,79,110
1948,80,75,76,83,90,106,107,106,109,96,82,75,109
1949,65,70,71,94,96,104,109,103,106,93,90,73,109
1950,75,83,84,93,98,106,106,109,110,96,88,67,110
1951,69,75,85,92,103,103,106,103,106,95,86,65,106
1952,70,75,85,87,99,97,105,105,102,105,87,77,105
1953,79,83,83,91,90,101,106,101,105,99,82,78,106
1954,75,82,75,98,101,107,109,98,100,98,84,70,109
1955,69,79,82,84,97,99,100,107,111,95,86,73,111
1956,67,70,82,90,94,108,106,100,98,88,90,82,108
1957,68,73,83,92,95,111,105,104,108,85,77,75,111
