year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1900,28,27,32,27,40,43,45,42,36,27,31,18,18
1901,17,24,29,28,36,36,44,40,36,36,32,16,16
1902,19,24,28,27,32,32,40,38,32,32,21,18,18
1903,19,15,24,29,30,36,37,M,M,M,M,M,15
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,36,32,34,28,M,15,15
1910,21,18,31,35,30,34,36,36,35,32,17,16,16
1911,18,22,36,29,32,37,40,36,32,30,18,13,13
1912,20,18,29,28,30,39,36,36,38,26,17,11,11
1913,0,20,26,28,30,37,38,38,36,25,26,22,0
1914,23,27,25,32,36,37,40,38,32,29,19,26,19
1915,20,27,29,32,32,38,41,42,31,30,20,17,17
1916,14,13,28,30,32,34,39,37,35,32,16,20,13
1917,18,20,25,24,30,35,42,40,36,28,26,19,18
1918,18,19,29,27,30,41,43,40,41,32,27,16,16
1919,16,26,28,31,36,36,38,40,37,23,18,24,16
1920,22,30,29,32,36,40,43,45,40,32,29,27,22
1921,19,29,33,30,33,40,42,43,40,34,23,25,19
1922,17,25,26,28,32,41,43,41,33,28,26,30,17
1923,27,22,25,34,35,39,44,43,40,33,31,17,17
1924,9,31,29,32,39,38,39,41,39,28,28,19,9
1925,24,33,28,28,34,39,43,42,38,35,26,26,24
1926,24,33,35,36,34,40,40,43,39,36,35,26,24
1927,29,30,30,30,36,39,44,42,38,34,29,24,24
1928,21,24,35,34,36,44,42,42,38,32,29,25,21
1929,25,21,27,27,34,40,45,45,38,30,27,28,21
1930,25,29,32,38,33,40,42,42,39,33,28,20,20
1931,29,31,32,35,42,44,44,38,39,36,20,25,20
1932,25,24,32,28,37,38,41,42,41,31,33,19,19
1933,23,23,29,28,31,38,40,43,38,38,23,21,21
1934,26,30,37,32,38,35,41,37,37,33,32,26,26
1935,24,23,25,31,37,37,40,42,41,29,25,22,22
1936,26,28,27,30,37,39,43,42,39,37,28,22,22
1937,14,25,29,30,34,41,45,39,42,36,30,25,14
1938,25,30,30,30,35,41,43,44,42,34,19,19,19
1939,28,24,23,32,33,35,44,42,33,28,31,25,23
1940,20,28,27,35,39,41,42,42,39,30,21,16,16
1941,28,29,35,32,40,39,42,42,31,30,18,20,18
1942,20,18,24,32,36,39,45,40,39,31,25,21,18
1943,15,27,30,32,32,35,43,41,38,34,27,21,15
1944,24,23,25,30,31,39,40,38,37,34,24,24,23
1945,16,23,25,28,33,36,44,40,34,27,26,20,16
1946,16,19,27,31,37,40,40,41,36,21,19,24,16
1947,16,27,33,33,34,35,40,38,36,35,15,15,15
1948,15,17,21,34,35,40,40,42,28,27,17,16,15
1949,10,18,30,34,34,36,41,40,40,23,28,17,10
1950,13,22,23,33,31,37,43,40,41,29,28,29,13
